@relation cdx
@attribute flight numeric
@attribute dst numeric
@attribute model numeric
@attribute temperature numeric
@attribute weather numeric
@attribute sight numeric
@attribute result numeric
@data
-2124909456,71601,2020697,-6,1,0,0
-1675214133,75829,1987002,-6,1,0,1
-1756303342,74385,1987002,-6,1,0,1
-2123066322,74385,2104483,-6,1,0,0
-1734257136,71431,2020697,-6,1,0,0
-2123066293,71652,2104483,-6,1,0,0
-1784995015,74533,2020697,-6,1,0,1
-1756303400,86115,1987002,-6,1,0,1
-1756368686,88031,1987024,-6,1,0,0
-2123066320,71415,2104483,-6,1,0,1
-1645574256,65670,1987024,-6,1,0,1
-1756368903,67999,1987002,-6,1,0,1
-1814690786,75401,1987024,-6,1,0,1
-1793339348,75915,1987002,-6,1,0,1
1939061369,83375,2020697,-6,1,0,1
1968615062,83828,2077150,-6,1,0,1
-1734257101,74841,2020697,-6,1,0,1
-1726905515,74385,2020697,-6,1,0,1
-1814690784,71282,1987024,-6,1,0,0
-1756302408,66480,1987024,-7,1,0,0
-1734256078,71560,2020697,-7,1,0,1
-1815622120,82641,2020697,-7,1,0,1
-1834891993,82641,1987024,-7,1,0,1
-1756304266,86314,1987002,-7,1,0,1
-1793360461,87655,1987002,-7,1,0,1
-1785861866,77354,1987025,-7,1,0,0
-1814669799,68799,1987002,-7,1,0,1
-1734257035,72638,2020697,-7,1,0,1
-1793338455,66783,1987024,-7,1,0,1
-1734257221,71520,2020697,-7,1,0,0
-1756304454,82064,1987024,-7,1,0,1
-1756368659,75829,1987002,-7,1,0,1
-1834892184,88222,1987024,-7,1,0,1
-1756302600,82610,1987055,-7,1,0,0
-1814694628,74848,1987025,-7,1,0,1
-1756302568,75829,1987002,-7,1,0,1
-1756303524,88037,1987024,-7,1,0,1
-1756303402,71465,1987024,-7,1,0,1
-1793360494,71031,1987002,-7,1,0,0
-1815585689,82064,1987024,-7,1,0,1
-1756302445,77354,1987002,-7,1,0,0
-1756304394,74533,1987024,-7,1,0,1
-1756511908,79617,1987025,-6,1,0,0
-1763837799,74848,2020697,-6,1,0,1
-2123087462,89322,1987024,-6,1,0,1
-2123066258,66783,1987024,-6,1,0,0
-1763813771,77584,2020697,-6,1,0,1
-2123066109,86307,2104483,-6,1,0,1
-1763837584,77225,2020697,-6,1,0,1
-1756302470,67048,1987025,-6,1,0,1
-1814694692,66783,1987024,-6,1,0,1
-1756368877,73444,1987024,-6,1,0,1
-1763814737,66480,2020697,-6,1,0,1
-1785885989,82060,1987025,-6,1,0,1
-2093418322,79094,1987025,-6,1,0,0
-2123066138,65196,2104483,-6,1,0,0
-2123066319,74385,2104483,-6,1,0,0
-1763837675,74841,2020697,-6,1,0,1
-1763837797,71800,2020697,-6,1,0,1
-1675214187,84335,1987002,-6,1,0,1
-1756303406,84522,1987024,-6,1,0,1
-1756304330,79094,1987025,-5,1,0,1
-1815622021,66480,2020697,-5,1,0,1
-1756304487,82060,1987024,-5,1,0,1
-1763837737,86115,2020697,-5,1,0,1
-1756303462,67838,1987002,-5,1,0,1
-1756304489,74841,1987024,-5,1,0,1
-1763814640,82641,1987055,-5,1,0,0
-1834892153,73486,1987024,-5,1,0,1
-1756302598,82610,1987025,-5,1,0,0
-1756302410,66480,1987025,-5,1,0,1
